;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
164;518;004905;PAGTO DEBITO EM C/C - E.R. GUIMARAES CONSULTORIO M - DEB C/C- 153981-1;2525,18;;
165;519;004905;PAGTO DEBITO EM C/C - TUCOMAR ASSISTENCIA MEDICA L - DEB C/C- 153992-1;14307,08;;
166;520;004905;PAGTO DEBITO EM C/C - MERCADOPAGO.COM REPRESENTACO - DEB C/C- 154072-1;408,98;;
167;521;004905;PAGTO DEBITO EM C/C - MAGALUPAY INSTITUICAO DE PAG - DEB C/C- 154074-1;79,98;;
168;522;004905;PAGTO DEBITO EM C/C - MERCADOPAGO.COM REPRESENTACO - DEB C/C- 154075-1;95,93;;
169;523;004905;PAGTO DEBITO EM C/C - MERCADOPAGO.COM REPRESENTACO - DEB C/C- 154076-1;1622,00;;
170;524;004905;PAGTO DEBITO EM C/C - MERCADOPAGO.COM REPRESENTACO - DEB C/C- 154077-1;1632,00;;
171;525;004905;PAGTO DEBITO EM C/C - CENTRO PERINATAL E PEDIATRIC - DEB C/C- 154133-1;100000,00;;
172;526;004905;PIX ANITA  GONÇALVES GOMES (01/04) - PIX ANITA 19407;3900,00;;
173;527;004905;PIX LARISSA  BR (01/04) - PIX LARISSA 19364;17,00;;
174;544;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18841;1190,45;;
175;528;004905;PIX LORRAINE THAINARA (01/04) - PIX LORRAINE 19382;550,00;;
176;530;004905;08 TED 02/04 - 08 TED 02/04;29,12;;
177;531;004905;08 TED 06/04 - 08 TED 06/04;29,12;;
178;532;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17044;706,64;;
179;533;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17643;949,03;;
180;534;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17651;200,58;;
181;535;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17911;583,08;;
182;536;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17953;706,64;;
183;537;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18243;729,34;;
184;538;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18255;936,57;;
185;539;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18256;641,39;;
186;540;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18563;631,67;;
187;541;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18578;641,39;;
